Time,xAcc,yAcc,zAcc,latitude,longitude,alt
60579042,-0.04,0,-0.17,2.5,5.6,0.51
60589045,0,0,-0.18,2.5,5.6,0.53
60599048,0,0.01,-0.16,2.5,5.6,0.52
60609050,-0.05,0.02,-0.2,2.5,5.6,0.53
60619053,-0.02,0,-0.16,2.5,5.6,0.52
60629087,0,0,-0.18,2.5,5.6,0.52
60639089,-0.02,0,-0.18,2.5,5.6,0.52
60651252,-0.02,0,-0.17,2.5,5.6,0.52
60661256,0,0.02,-0.16,2.5,5.6,0.52
60673502,0,0,-0.19,2.5,5.6,0.52
60684960,-0.04,0,-0.18,2.5,5.6,0.52
60700401,-0.02,0,-0.18,2.5,5.6,0.52
60710816,-0.02,0.01,-0.17,2.5,5.6,0.52
60720819,-0.03,0,-0.18,2.5,5.6,0.52
60734104,-0.02,0.01,-0.18,2.5,5.6,0.52
60746769,-0.02,0,-0.16,2.5,5.6,0.51
60756966,-0.01,0,-0.16,2.5,5.6,0.52
60769671,-0.02,0,-0.18,2.5,5.6,0.53
60779674,-0.01,0,-0.19,2.5,5.6,0.52
60792327,-0.02,-0.01,-0.2,2.5,5.6,0.53
60802879,0,0,-0.16,2.5,5.6,0.51
60815670,-0.01,0.01,-0.18,2.5,5.6,0.51
60826242,-0.02,0,-0.21,2.5,5.6,0.51
60839364,-0.02,0.01,-0.17,2.5,5.6,0.52
60849367,-0.01,0.01,-0.17,2.5,5.6,0.53
60859371,-0.03,0,-0.14,2.5,5.6,0.52
60869373,-0.01,0.03,-0.2,2.5,5.6,0.52
60879714,-0.01,0,-0.19,2.5,5.6,0.51
60889717,-0.01,0.02,-0.17,2.5,5.6,0.51
60899926,-0.02,0.02,-0.17,2.5,5.6,0.52
60909930,-0.02,0,-0.21,2.5,5.6,0.52
60919933,-0.01,0,-0.17,2.5,5.6,0.52
60929936,-0.02,0,-0.19,2.5,5.6,0.52
60941181,-0.01,-0.01,-0.19,2.5,5.6,0.51
60951184,-0.01,0,-0.16,2.5,5.6,0.52
60962216,-0.03,0,-0.18,2.5,5.6,0.53
60972220,-0.03,0,-0.15,2.5,5.6,0.52
60983727,-0.02,0,-0.21,2.5,5.6,0.53
60995561,-0.01,0,-0.17,2.5,5.6,0.51
61006892,-0.03,0.01,-0.13,2.5,5.6,0.51
61020070,-0.03,0,-0.18,2.5,5.6,0.53
61030072,-0.02,0.01,-0.18,2.5,5.6,0.54
61043175,-0.01,0,-0.19,2.5,5.6,0.52
61056956,-0.02,0,-0.21,2.5,5.6,0.52
61067125,-0.04,0.01,-0.17,2.5,5.6,0.52
61081154,-0.01,-0.01,-0.18,2.5,5.6,0.53
61091156,-0.02,0,-0.16,2.5,5.6,0.52
61103655,-0.03,0,-0.16,2.5,5.6,0.52
61113658,-0.02,0,-0.17,2.5,5.6,0.53
61127506,-0.03,0.01,-0.23,2.5,5.6,0.54
61137714,-0.01,0,-0.18,2.5,5.6,0.53
61148013,-0.03,0,-0.18,2.5,5.6,0.52
61158144,-0.02,0.01,-0.17,2.5,5.6,0.52
61169507,-0.02,0,-0.17,2.5,5.6,0.52
61179510,-0.01,0.01,-0.2,2.5,5.6,0.53
61189513,0,0,-0.18,2.5,5.6,0.52
61199519,-0.02,0,-0.2,2.5,5.6,0.52
61209523,-0.03,0,-0.16,2.5,5.6,0.53
61219739,-0.01,0.01,-0.16,2.5,5.6,0.53
61229744,-0.01,0,-0.18,2.5,5.6,0.53
61239747,-0.01,0,-0.18,2.5,5.6,0.53
61249749,-0.01,0,-0.19,2.5,5.6,0.52
61259753,-0.01,0,-0.15,2.5,5.6,0.52
61269757,-0.02,0,-0.18,2.5,5.6,0.5
61279760,-0.02,0,-0.19,2.5,5.6,0.53
61289763,-0.02,0,-0.19,2.5,5.6,0.52
61300718,-0.01,0,-0.16,2.5,5.6,0.52
