Time,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed
211561384,0.71,0.36,0,4713.43,849.07,0.62,-10000,-10000,32.94
211571388,0.59,0.06,0.11,4713.43,849.07,0.6,-10000,-10000,32.94
211582493,0.12,0.27,0.04,4713.43,849.07,0.59,-10000,-10000,32.94
211592496,-1.45,-0.01,0.12,4713.43,849.07,0.58,-10000,-10000,32.94
211602717,-0.93,-0.08,0,4713.43,849.07,0.63,-10000,-10000,32.95
211614560,-0.6,0.06,0.09,4713.43,849.07,0.59,-10000,-10000,32.95
211626664,0.93,0.1,0.14,4713.43,849.07,0.61,-10000,-10000,32.95
211637734,-1.11,0.33,0.01,4713.43,849.07,0.52,-10000,-10000,32.95
211649860,0.26,-0.05,0,4713.43,849.07,0.55,-10000,-10000,32.96
211659863,0.25,0.69,-0.15,4713.43,849.07,0.53,-10000,-10000,32.96
211672424,-0.12,-0.01,0.08,4713.43,849.07,0.49,-10000,-10000,32.96
211682428,-0.23,-0.06,0.22,4713.43,849.07,0.51,-10000,-10000,32.96
211694305,0.04,0.53,-0.04,4713.43,849.07,0.55,-10000,-10000,32.97
211706127,-0.44,0.16,0.08,4713.43,849.07,0.54,-10000,-10000,32.97
211721505,-0.15,0.16,0.22,4713.43,849.07,0.52,-10000,-10000,32.98
211731509,-0.44,-0.14,0.09,4713.43,849.07,0.5,-10000,-10000,32.98
211744114,0.11,0.01,0.06,4713.43,849.07,0.54,-10000,-10000,32.98
211755340,-0.14,0.15,-0.01,4713.43,849.07,0.54,-10000,-10000,32.98
211769252,0.03,-0.06,-0.02,4713.43,849.07,0.56,-10000,-10000,32.99
211779766,-0.04,0,-0.01,4713.43,849.07,0.57,-10000,-10000,32.99
211791619,0.09,0.09,0.14,4713.43,849.07,0.55,-10000,-10000,32.99
211801621,-0.16,0.23,0.08,4713.43,849.07,0.55,-10000,-10000,32.99
211811697,-0.16,-0.16,0.06,4713.43,849.07,0.52,-10000,-10000,33
211821700,-0.37,0.38,0.18,4713.43,849.07,0.54,-10000,-10000,33
211831704,-0.1,0.16,0.09,4713.43,849.07,0.57,-10000,-10000,33
