Time,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed
72003371,0.01,0,-0.19,2084.72,849.06,0.53,-10000,-10000,-15.4
72013376,0.01,-0.01,-0.17,2084.72,849.06,0.53,-10000,-10000,-15.41
72023978,0.01,0,-0.18,2084.72,849.06,0.53,-10000,-10000,-15.41
72033981,0.01,0,-0.2,2084.72,849.06,0.52,-10000,-10000,-15.41
72047856,0.01,-0.02,-0.19,2084.72,849.06,0.52,-10000,-10000,-15.42
72064771,0.01,0,-0.19,2084.72,849.06,0.54,-10000,-10000,-15.43
72078144,0.02,0,-0.22,2084.72,849.06,0.54,-10000,-10000,-15.43
72090272,0.01,0,-0.19,2084.72,849.06,0.52,-10000,-10000,-15.44
72104038,0.02,-0.02,-0.17,2084.72,849.06,0.52,-10000,-10000,-15.44
72114040,0.02,-0.02,-0.18,2084.72,849.06,0.53,-10000,-10000,-15.44
72124042,0.01,-0.01,-0.2,2084.72,849.06,0.51,-10000,-10000,-15.45
72134044,0.03,-0.01,-0.19,2084.72,849.06,0.5,-10000,-10000,-15.45
72147768,0.01,-0.01,-0.18,2084.72,849.06,0.51,-10000,-10000,-15.46
72160716,0.01,0,-0.18,2084.72,849.06,0.51,-10000,-10000,-15.46
72175918,0.02,-0.01,-0.19,2084.72,849.06,0.51,-10000,-10000,-15.47
72187126,0.03,-0.02,-0.19,2084.72,849.06,0.51,-10000,-10000,-15.47
72204164,0.01,-0.02,-0.19,2084.72,849.06,0.49,-10000,-10000,-15.48
72214168,0.01,-0.01,-0.17,2084.72,849.06,0.53,-10000,-10000,-15.48
72228168,0,-0.01,-0.22,2084.72,849.06,0.52,-10000,-10000,-15.49
72243821,0.03,-0.03,-0.16,2084.72,849.06,0.51,-10000,-10000,-15.49
72253823,0.01,-0.02,-0.18,2084.72,849.06,0.51,-10000,-10000,-15.5
72267945,0.02,-0.01,-0.18,2084.72,849.06,0.53,-10000,-10000,-15.5
72284852,0,0,-0.19,2084.72,849.06,0.52,-10000,-10000,-15.51
72294854,0.03,-0.01,-0.2,2084.72,849.06,0.53,-10000,-10000,-15.51
72304856,0.01,0,-0.2,2084.72,849.06,0.53,-10000,-10000,-15.51
72314860,0.01,0,-0.19,2084.72,849.06,0.51,-10000,-10000,-15.52
72326426,0.01,0,-0.18,2084.72,849.06,0.51,-10000,-10000,-15.52
72337910,0,0,-0.18,2084.72,849.06,0.52,-10000,-10000,-15.53
72352363,0.01,0,-0.17,2084.72,849.06,0.53,-10000,-10000,-15.53
72362795,0.01,0,-0.18,2084.72,849.06,0.5,-10000,-10000,-15.54
72375840,0.01,-0.02,-0.2,2084.72,849.06,0.53,-10000,-10000,-15.54
72386175,0.01,-0.01,-0.18,2084.72,849.06,0.52,-10000,-10000,-15.54
72396874,0.01,-0.02,-0.21,2084.72,849.06,0.53,-10000,-10000,-15.55
72408544,0.02,-0.02,-0.17,2084.72,849.06,0.51,-10000,-10000,-15.55
72421545,0.01,-0.01,-0.19,2084.72,849.06,0.51,-10000,-10000,-15.56
72432090,0,-0.03,-0.18,2084.72,849.06,0.52,-10000,-10000,-15.56
72446446,0.01,0,-0.18,2084.72,849.06,0.52,-10000,-10000,-15.57
72457649,0.01,-0.01,-0.17,2084.72,849.06,0.52,-10000,-10000,-15.57
72470937,0.03,-0.03,-0.18,2084.72,849.06,0.51,-10000,-10000,-15.57
