Time,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed
59777135,-0.02,-0.04,-0.2,0,0,0.51,-10000,-10000,-0.21
59792556,0.01,0,-0.2,0,0,0.51,-10000,-10000,-0.21
59803311,-0.02,-0.01,-0.21,0,0,0.5,-10000,-10000,-0.21
59818036,0.01,-0.01,-0.18,0,0,0.52,-10000,-10000,-0.21
59829292,0.01,0.01,-0.21,0,0,0.49,-10000,-10000,-0.21
59844138,-0.01,-0.03,-0.16,0,0,0.5,-10000,-10000,-0.21
59861554,0.01,0,-0.2,0,0,0.51,-10000,-10000,-0.21
59873556,-0.03,-0.05,-0.19,0,0,0.51,-10000,-10000,-0.21
59883560,0.01,0,-0.21,0,0,0.5,-10000,-10000,-0.21
59897182,-0.01,-0.03,-0.2,0,0,0.48,-10000,-10000,-0.21
59908541,0.02,0,-0.18,0,0,0.51,-10000,-10000,-0.21
59921534,0.01,-0.02,-0.21,0,0,0.49,-10000,-10000,-0.21
59931537,-0.02,-0.01,-0.19,0,0,0.51,-10000,-10000,-0.21
59941540,-0.01,-0.03,-0.2,0,0,0.52,-10000,-10000,-0.21
59951543,0.01,0,-0.2,0,0,0.5,-10000,-10000,-0.21
59963951,-0.01,-0.03,-0.19,0,0,0.51,-10000,-10000,-0.21
59976159,0.01,-0.02,-0.17,0,0,0.51,-10000,-10000,-0.21
59990758,0,-0.03,-0.19,0,0,0.5,-10000,-10000,-0.21
60000762,0.01,-0.01,-0.19,0,0,0.49,-10000,-10000,-0.21
60013577,0,0,-0.19,0,0,0.51,-10000,-10000,-0.21
60024929,0.01,-0.01,-0.16,0,0,0.51,-10000,-10000,-0.21
60038784,-0.02,-0.01,-0.19,0,0,0.52,-10000,-10000,-0.21
60053897,-0.02,-0.01,-0.15,0,0,0.53,-10000,-10000,-0.21
60069787,0,-0.01,-0.2,0,0,0.51,-10000,-10000,-0.21
60080202,0.01,-0.01,-0.21,0,0,0.52,-10000,-10000,-0.21
60092972,0.01,-0.04,-0.2,0,0,0.52,-10000,-10000,-0.21
60103412,0,0,-0.22,0,0,0.51,-10000,-10000,-0.21
60117982,0,-0.01,-0.18,0,0,0.52,-10000,-10000,-0.21
60129490,0,-0.01,-0.19,0,0,0.51,-10000,-10000,-0.21
60142982,-0.01,-0.03,-0.17,0,0,0.52,-10000,-10000,-0.21
60153157,0,-0.01,-0.22,0,0,0.5,-10000,-10000,-0.21
60166618,0.02,-0.01,-0.2,0,0,0.51,-10000,-10000,-0.21
60179143,0,-0.02,-0.19,0,0,0.53,-10000,-10000,-0.21
60192493,0,-0.02,-0.19,0,0,0.51,-10000,-10000,-0.21
60202497,0,-0.01,-0.19,0,0,0.51,-10000,-10000,-0.21
60213375,-0.01,-0.01,-0.19,0,0,0.51,-10000,-10000,-0.21
60223949,0,-0.01,-0.2,0,0,0.52,-10000,-10000,-0.21
60236661,-0.01,-0.03,-0.18,0,0,0.51,-10000,-10000,-0.21
60249075,-0.01,-0.01,-0.21,0,0,0.52,-10000,-10000,-0.21
60264370,0,-0.01,-0.2,0,0,0.49,-10000,-10000,-0.21
60275909,0,0,-0.18,0,0,0.5,-10000,-10000,-0.21
60290162,-0.01,-0.01,-0.17,0,0,0.51,-10000,-10000,-0.21
60304846,-0.01,-0.03,-0.2,0,0,0.5,-10000,-10000,-0.21
60321648,-0.01,-0.02,-0.18,0,0,0.5,-10000,-10000,-0.21
60335797,0,-0.02,-0.19,0,0,0.51,-10000,-10000,-0.21
60352566,0,-0.02,-0.2,0,0,0.53,-10000,-10000,-0.21
60362570,0.01,-0.03,-0.18,0,0,0.51,-10000,-10000,-0.21
60376315,0.03,-0.01,-0.2,0,0,0.49,-10000,-10000,-0.21
60386440,-0.01,-0.02,-0.16,0,0,0.51,-10000,-10000,-0.21
60402505,-0.01,0,-0.22,0,0,0.5,-10000,-10000,-0.21
60412507,0,-0.01,-0.18,0,0,0.51,-10000,-10000,-0.21
60423850,0,-0.01,-0.19,0,0,0.51,-10000,-10000,-0.21
60433854,0,-0.02,-0.19,0,0,0.5,-10000,-10000,-0.21
60444264,0,-0.02,-0.17,0,0,0.51,-10000,-10000,-0.21
60455130,0,0,-0.19,0,0,0.51,-10000,-10000,-0.21
60471768,0.01,0,-0.19,0,0,0.5,-10000,-10000,-0.21
